Longitude,Latitude,Time,Power ⌁,Power ⌁ without Loss,Efficiency ⋅,Global ⤋ ⭍,Direct ⇣ ⭍,Sky-Diffuse 🗤 ⭍,Ground-Diffuse ⭞ ⭍,Spectral effect ±,Spectral effect ± ％,Spectral factor,Global ⤋ ∡ ☉,Direct ⇣ ∡ ☉,Sky-Diffuse 🗤 ∡ ☉,Ground-Diffuse ⭞ ∡ ☉,Global ⤋ -⭜,Direct ⇣ -⭜,Sky-Diffuse 🗤 -⭜,Ground-Diffuse ⭞ -⭜,Global ⤋ ∡,Direct ⇣ ∡,Sky-Diffuse 🗤 ∡,Ground-Diffuse ⭞ ∡,Sky-Diffuse Horizontal 🗤⭳,Direct Horizontal ⇣ ⭳,Extra Horizontal ⍖ ⭳,Extra Normal ⍖ ⦜,Linke Turbidity ⋅,Refracted alt. ⦧ ⦩,Temperature 🌡,Wind speed 🌬,Altitude ⦩,Azimuth 󱦥,Incidence ⭸,Sun-Horizon ⛰,Shading state 🮞,In-shade 🮞,Horizon ⛰,Visible 👁,Outbound ⊖,Outbound ⊖ i
8.628,45.812000000000005,2010-01-01 00:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-66.3583,14.0,0.0,nan,0.3214,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 01:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-60.6446,14.0,0.0,nan,0.8192,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 02:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-51.8921,14.0,0.0,nan,1.1581,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 03:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-41.8824,14.0,0.0,nan,1.4023,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 04:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-31.4647,14.0,0.0,nan,1.6,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 05:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-21.0913,14.0,0.0,nan,1.7778,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 06:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-11.08,14.0,0.0,nan,1.951,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 07:00:00,0.0,0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,1406.2825,2.0,-1.608,14.0,0.0,nan,2.1333,0.0,Below,In-shade,True,0.0,False,False,-1
8.628,45.812000000000005,2010-01-01 08:00:00,312.8036,363.7251,0.9534,363.7251,301.7115,59.7292,2.2845,0.0,0.0,1.0,391.8974,326.0005,63.3095,2.5874,-10.3863,-9.5355,-0.6596,-0.1912,381.511,316.465,62.6499,2.3962,24.5153,67.6729,162.2487,1406.2825,2.0,6.6253,14.0,0.0,0.1156,2.3257,0.5893,Above,Sunlit,False,0.0,True,False,-1
8.628,45.812000000000005,2010-01-01 09:00:00,515.9329,599.922,0.9291,599.922,520.0512,74.5956,5.2752,0.0,0.0,1.0,653.2502,565.9831,81.1362,6.1309,-7.5254,-6.227,-0.8454,-0.453,645.7249,559.7561,80.2909,5.6779,36.9212,181.5257,325.9835,1406.2825,2.0,13.4034,14.0,0.0,0.2339,2.5371,0.8078,Above,Sunlit,False,0.0,True,False,-1
