Longitude,Latitude,Time,Power ⌁,Power ⌁ without Loss,Efficiency ⋅,Global ⤋ ⭍,Direct ⇣ ⭍,Sky-Diffuse 🗤 ⭍,Ground-Diffuse ⭞ ⭍,Spectral effect ±,Spectral effect ± ％,Spectral factor,Global ⤋ ∡ ☉,Direct ⇣ ∡ ☉,Sky-Diffuse 🗤 ∡ ☉,Ground-Diffuse ⭞ ∡ ☉,Global ⤋ -⭜,Direct ⇣ -⭜,Sky-Diffuse 🗤 -⭜,Ground-Diffuse ⭞ -⭜,Global ⤋ ∡,Direct ⇣ ∡,Sky-Diffuse 🗤 ∡,Ground-Diffuse ⭞ ∡,Sky-Diffuse Horizontal 🗤⭳,Direct Horizontal ⇣ ⭳,Extra Horizontal ⍖ ⭳,Extra Normal ⍖ ⦜,Linke Turbidity ⋅,Temperature 🌡,Wind speed 🌬,Altitude ⦩,Azimuth 󱦥,Incidence ⭸,Sun-Horizon ⛰,Shading state 🮞,In-shade 🮞,Horizon ⛰,Visible 👁
8.628,45.812000000000005,2010-01-01 00:00:00,0.0,0.0,1.0413,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,0.91,0.95,-1.1582,0.3214,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 01:00:00,0.0,0.0,1.0405,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,1.14,1.15,-1.0584,0.8192,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 02:00:00,0.0,0.0,1.0402,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,1.25,1.2,-0.9057,1.1581,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 03:00:00,0.0,0.0,1.0399,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,1.33,1.15,-0.731,1.4023,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 04:00:00,0.0,0.0,1.041,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,1.01,0.95,-0.5492,1.6,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 05:00:00,0.0,0.0,1.0425,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,0.53,0.8,-0.3681,1.7778,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 06:00:00,0.0,0.0,1.044,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,0.04,0.9,-0.1934,1.951,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 07:00:00,0.0,0.0,1.0434,0.0,-0.0,0.0,0.0,0.0,0.0,1.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1406.2825,2.0,0.23,0.9,-0.0281,2.1333,0.0,Below,In-shade,True,0.0,False
8.628,45.812000000000005,2010-01-01 08:00:00,161.3864,187.6586,0.9957,187.6586,107.0925,78.5475,2.0186,4.1729,2.2642,1.0226,192.7057,110.7978,79.7188,2.1891,-4.2332,-3.2408,-0.8306,-0.1618,188.4725,107.557,78.8882,2.0274,55.0,23.0,162.2487,1406.2825,2.0,0.9,0.85,0.1156,2.3257,0.5893,Above,Sunlit,False,0.0,True
8.628,45.812000000000005,2010-01-01 09:00:00,50.1604,58.3261,0.9379,58.3261,0.0,56.5953,1.7308,1.3769,2.2642,1.0226,62.9735,0.0,60.9808,1.9927,-0.7826,0.0,-0.6354,-0.1472,62.1909,0.0,60.3454,1.8455,71.0,0.0,325.9835,1406.2825,2.0,1.86,0.75,0.2339,2.5371,0.8078,Above,Sunlit,False,0.0,True
